,participant,block,taskID,stimulus_ID,stimulus_distractor,stimulus_congruency,response_ID,accuracy,rt
421,6004,1,spatial,R,L,I,R,1,304.25
422,6004,1,spatial,L,L,C,L,1,324.57
423,6004,1,spatial,L,R,I,L,1,326.09
424,6004,1,spatial,R,L,I,R,1,352.27
425,6004,1,spatial,L,R,I,L,1,315.61
426,6004,1,spatial,R,R,C,R,1,294.53
427,6004,1,spatial,L,R,I,L,1,265.67
428,6004,1,spatial,R,L,I,R,1,298.86
429,6004,1,spatial,R,R,C,R,1,413.26
430,6004,1,spatial,L,L,C,L,1,384.44
431,6004,1,spatial,R,L,I,R,1,332.14
432,6004,1,spatial,L,R,I,L,1,287.74
433,6004,1,spatial,R,R,C,R,1,393.52
434,6004,1,spatial,R,L,I,R,1,466.23
435,6004,1,spatial,L,R,I,L,1,367.33
436,6004,1,spatial,R,R,C,R,1,377.68
437,6004,1,spatial,L,L,C,L,1,341.18
438,6004,1,spatial,R,R,C,R,1,296.6
439,6004,1,spatial,L,R,I,L,1,277.53
440,6004,1,spatial,R,L,I,R,1,295.3
441,6004,1,spatial,R,R,C,R,1,383.8
442,6004,1,spatial,R,L,I,R,1,362.67
443,6004,1,spatial,L,L,C,L,1,279.2
444,6004,1,spatial,L,R,I,L,1,408.04
445,6004,1,spatial,R,L,I,R,1,316.71
446,6004,1,spatial,R,R,C,R,1,334.95
447,6004,1,spatial,L,L,C,L,1,274.78
448,6004,1,spatial,R,R,C,R,1,284.73
449,6004,1,spatial,R,L,I,R,1,372.83
450,6004,1,spatial,L,L,C,L,1,250.78
451,6004,1,spatial,R,L,I,R,1,229.37
452,6004,1,spatial,L,L,C,L,1,262.95
453,6004,1,spatial,R,L,I,R,1,273.17
454,6004,1,spatial,R,R,C,R,1,345.93
455,6004,1,spatial,L,R,I,L,1,303.19
456,6004,1,spatial,R,L,I,R,1,289.73
457,6004,1,spatial,L,L,C,L,1,346.84
458,6004,1,spatial,R,L,I,R,1,271.03
459,6004,1,spatial,L,R,I,L,1,296.58
460,6004,1,spatial,L,L,C,R,0,260.01
461,6004,1,spatial,R,L,I,R,1,496.57
462,6004,1,spatial,R,R,C,R,1,459.92
463,6004,1,spatial,R,L,I,R,1,410.03
464,6004,1,spatial,L,L,C,L,1,334.29
465,6004,1,spatial,L,R,I,R,0,336.54
466,6004,1,spatial,R,L,I,R,1,619.95
467,6004,1,spatial,L,R,I,L,1,302.56
468,6004,1,spatial,L,L,C,L,1,351.51
469,6004,1,spatial,R,L,I,R,1,330.37
470,6004,1,spatial,L,L,C,L,1,278.1
471,6004,1,spatial,R,R,C,R,1,366.03
472,6004,1,spatial,L,R,I,L,1,298.08
473,6004,1,spatial,R,R,C,R,1,331.74
474,6004,1,spatial,L,R,I,L,1,281.01
475,6004,1,spatial,R,R,C,R,1,330
476,6004,1,spatial,L,R,I,L,1,262.17
477,6004,1,spatial,L,L,C,L,1,428.23
478,6004,1,spatial,R,L,I,R,1,344.87
479,6004,1,spatial,L,L,C,L,1,269.2
480,6004,1,spatial,R,R,C,R,1,302.87
481,6004,1,spatial,L,R,I,L,1,258.33
482,6004,1,spatial,R,L,I,R,1,299.72
483,6004,1,spatial,L,R,I,L,1,263.2
484,6004,1,spatial,R,R,C,R,1,405.93
485,6004,1,spatial,L,R,I,L,1,277.81
486,6004,1,spatial,R,R,C,R,1,280.2
487,6004,1,spatial,L,R,I,L,1,282.44
488,6004,1,spatial,L,L,C,L,1,417.38
489,6004,1,spatial,R,R,C,R,1,341.55
490,6004,1,spatial,L,L,C,L,1,375.45
491,6004,1,spatial,R,L,I,R,1,332.76
492,6004,1,spatial,L,L,C,L,1,202.35
493,6004,1,spatial,L,R,I,L,1,368.38
494,6004,1,spatial,R,L,I,R,1,269.46
495,6004,1,spatial,L,L,C,L,1,271.77
496,6004,1,spatial,R,L,I,R,1,304.87
497,6004,1,spatial,L,L,C,L,1,268.81
498,6004,1,spatial,R,L,I,R,1,411.59
499,6004,1,spatial,L,R,I,L,1,273.47
500,6004,1,spatial,R,R,C,R,1,346.16
501,6004,1,spatial,R,L,I,R,1,582.73
502,6004,1,spatial,R,R,C,R,1,415.49
503,6004,1,spatial,R,L,I,R,1,402.29
504,6004,1,spatial,R,R,C,R,1,350.09
505,6004,1,spatial,L,R,I,L,1,305.66
506,6004,1,spatial,R,R,C,R,1,340.93
507,6004,1,spatial,R,L,I,R,1,390.06
508,6004,1,spatial,L,R,I,L,1,369.04
509,6004,1,spatial,L,L,C,L,1,426.13
510,6004,1,spatial,R,R,C,R,1,334.73
511,6004,1,spatial,R,L,I,R,1,446.43
512,6004,1,spatial,R,R,C,R,1,420
513,6006,2,spatial,R,L,I,R,1,634.79
514,6006,2,spatial,L,L,C,L,1,770.27
515,6006,2,spatial,L,R,I,L,1,648.46
516,6006,2,spatial,R,L,I,R,1,440.52
517,6006,2,spatial,L,L,C,L,1,372.94
